force,filtered_force,target_force,motor_speed,position,contact_point,spring,motor_state,screen_state
-0.0006,0.0002,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0018,0.0005,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0040,0.0009,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0046,0.0020,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0030,0.0031,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0033,0.0035,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0005,0.0034,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0032,0.0029,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0011,0.0023,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
-0.0000,0.0017,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
-0.0001,0.0012,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
-0.0019,0.0006,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0025,0.0001,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0018,0.0002,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0029,0.0007,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0033,0.0017,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0032,0.0024,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0014,0.0027,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0001,0.0023,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
-0.0018,0.0013,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
-0.0031,-0.0001,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
-0.0006,-0.0011,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0011,-0.0011,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0025,-0.0004,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0021,0.0005,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0010,0.0016,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0013,0.0017,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
-0.0004,0.0015,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0015,0.0009,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0016,0.0007,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0012,0.0008,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0040,0.0015,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0043,0.0025,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0028,0.0030,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0005,0.0031,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0009,0.0025,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
-0.0021,0.0012,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0003,0.0000,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
-0.0001,-0.0002,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0009,-0.0005,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
-0.0003,-0.0001,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
-0.0013,-0.0000,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
-0.0016,-0.0005,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
-0.0021,-0.0007,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
-0.0019,-0.0013,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
-0.0007,-0.0016,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
-0.0008,-0.0014,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0003,-0.0010,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0004,-0.0005,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
-0.0002,-0.0000,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
-0.0007,0.0000,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
-0.0006,-0.0001,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0001,-0.0003,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0003,-0.0004,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0009,-0.0002,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0005,0.0002,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
-0.0001,0.0004,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0009,0.0006,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
-0.0007,0.0005,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0013,0.0005,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0027,0.0008,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0015,0.0012,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0047,0.0020,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0034,0.0028,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0025,0.0031,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0039,0.0033,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0035,0.0034,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0034,0.0031,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0028,0.0031,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0006,0.0028,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
-0.0005,0.0021,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
-0.0002,0.0012,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
-0.0002,0.0005,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0005,0.0002,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0002,-0.0000,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0016,0.0003,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0029,0.0007,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0018,0.0011,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0009,0.0016,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0009,0.0015,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
-0.0014,0.0009,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
-0.0026,-0.0000,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
-0.0033,-0.0010,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
-0.0024,-0.0019,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
-0.0016,-0.0023,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0004,-0.0021,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0021,-0.0010,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0017,0.0000,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0016,0.0008,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0018,0.0014,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0024,0.0016,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0025,0.0020,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0039,0.0025,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0025,0.0028,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0024,0.0028,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0021,0.0027,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0000,0.0021,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0006,0.0013,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
-0.0012,0.0008,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0003,0.0002,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0029,0.0004,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0046,0.0012,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0055,0.0025,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0038,0.0038,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0029,0.0042,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
-0.0001,0.0037,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
-0.0012,0.0019,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
-0.0027,0.0001,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
-0.0022,-0.0013,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
-0.0020,-0.0019,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
-0.0009,-0.0020,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0000,-0.0015,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0015,-0.0008,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
0.0031,0.0004,6.9000,0.0000,-0.0009,0.0000,-0.0009,2,4
